"parameter","mu_star_mean","mu_star_sd","sigma_mean","sigma_sd","n_files"
"rho.null",107.332111463257,56.9548272992115,119.529346081698,66.4230069597604,248
"tau",54.8209572536191,27.9453960584808,64.3491744931964,32.1512673420994,248
"rho.max",50.6074435141412,31.1877758928783,53.1776655031321,32.1578097621055,248
"k",31.3751612116291,22.6557733993794,60.3169689426417,41.7729488733187,248
"c.ov",21.974477090041,18.9855538250499,28.161581464468,24.2053727932446,248
"eta.null",14.5925583349766,5.71749936027526,32.8634167415883,13.0273341759686,248
"k.ov",4.90365236159168,4.29815698156202,7.82889352101147,6.7903133616424,248
