iteration,rmse,bias,rho.max,rho.null,c.ov,k.exp,tau
1,48.51162750332466,-18.436795234617975,350.7490802376947,82.61701627734875,4.6997705425010626e-05,0.13657450394195947,0.039510134911787814
2,69.86226931913859,46.416169281991074,402.83482200629754,124.28436846720882,0.0009206041328595738,0.1010397159714664,0.034171961085143435
3,58.75805763290474,34.7661345242827,498.20155600275484,104.66031975852742,0.0009879259182175061,0.027603843361041783,0.028856560329584974
4,59.57746689613069,34.77304831486791,352.3119890406724,119.21304027864096,0.0008621361028869381,0.16999630717476677,0.05559900315626491
5,47.78263215675301,-17.006077199852786,361.570351922786,87.7289770298032,8.086827370578243e-05,0.1050751147985019,0.052166828598776395
6,48.35396941119806,22.020571629726614,449.85663712517544,93.68765146718393,0.0009089761159561087,0.03257027835193292,0.03309678186027296
7,47.331959837426126,17.818037869713457,371.9391692555291,95.3377084379247,0.0009854046898214058,0.14064415496422641,0.05771698278525059
8,44.348842450259774,17.338146084236918,432.0183941032333,102.06731197199603,0.0005832869687816883,0.1511116494223862,0.042010304411019245
9,40.67068212702769,7.560109131442903,440.48797928675816,107.20210967448416,0.00025014455050442465,0.1857490186237204,0.04771885342733078
10,45.39469895148564,19.773831235973166,457.4815372355084,119.66276510507382,0.0002708588088896045,0.048908113178978835,0.04406478432918051
11,41.128229015676865,8.94180769266361,461.0030325893744,78.62010625868889,0.000817639601999797,0.0924239625329894,0.01612323630368368
12,40.1106464119058,-8.14083953742007,435.0974675787332,80.5127393799798,0.0005686932481005512,0.16104465587207484,0.05862764320585102
13,45.957170194799495,18.80243438515079,486.9832317502337,96.65662405197739,0.0007843015565074548,0.1138794893457438,0.0414514071196047
14,59.49477861506629,38.22876033899421,479.0984533294122,118.42508370525452,0.0005879160756553775,0.15512590450539165,0.017065266652540722
15,40.3600344266972,-7.763498596498161,425.3199680920684,81.35897254522735,0.0004234888380494547,0.07052781612950795,0.04525158204795197
16,43.82991958808949,15.690605828003726,459.618722310957,89.04293766151929,0.0007315612326867705,0.14517737758309007,0.022738594284662204
17,46.82213850080597,-17.534589301150117,411.81653177193334,84.18368494267045,0.00014586084002753656,0.06377962201924546,0.05330324352044213
18,64.75610327377531,43.61904989989877,453.1136025249167,123.4062768883715,0.0006052416977542539,0.1695053759838508,0.011454549978138065
19,43.26585561355831,13.1022772574575,356.36680901970686,78.87079400164154,0.0009661100724298484,0.12625985127311537,0.01464375468871637
20,47.299420095777734,21.393196652233044,414.73556626543854,111.54892381932862,0.0005319619381712309,0.1169681489173001,0.049390231643329174
21,39.793055305948116,-5.299301344015229,354.0411689885916,86.50912832901102,0.0004424874709850845,0.08169555838486917,0.054030668428014496
22,47.8340523187649,24.5411488361109,359.22370578944475,113.84809071574335,0.00029007472510655876,0.03418499937433632,0.01818728967312492
23,53.64101851236258,29.70660145643586,482.7119453573025,96.10584466447487,0.0009421159729723376,0.1491135427331431,0.01113871505186403
24,60.43736026845209,36.4856563499778,381.458014336082,110.30807818288154,0.0009544770532733053,0.1307018631496315,0.03482790152726697
25,40.828222113293165,8.968684775411619,379.5444895385933,109.16314286160207,0.00030572999630193226,0.02416745024111719,0.054731889440434
26,62.51106871487586,38.080788671465406,496.77220527560155,125.70807492069412,0.0008270048495741963,0.07107879820880346,0.05871290753391677
27,52.73473184370322,30.056037401987137,494.77633985241306,116.42987855099938,0.000518672722089937,0.05819772845441839,0.03342501396276399
28,51.487607449151604,27.749741973178892,428.69841914922534,112.39204308008341,0.0006210257641029663,0.15784581629157524,0.03923281560699612
29,59.59094120212531,36.83106805291147,377.0853921663165,121.77167673816005,0.0006269912525615399,0.05702190223384274,0.035559353194032466
30,54.5844271072217,33.26566839379277,404.6464058640415,122.44348324200912,0.0003933696602739978,0.07672195843422253,0.025692894827943763
