iteration,rmse,bias,rho.max,rho.null,c.ov,k.ov,k.exp,tau,eta.null
1,44.65833487375822,15.848048240129888,376.8828782370321,87.53822582725297,0.0009486726231602057,0.38802897257564256,0.1910670594703793,0.034794933952797695,8839392.123675084
2,43.7302702586137,-15.975770653206347,479.5904994084065,72.31225737869714,0.00026568850343559587,0.6421212220269626,0.1328506399200251,0.04917059256585665,6487453.278714536
3,52.77831894590272,25.4238768068804,353.11689281029584,112.37166679491631,0.0007104205821068706,0.042585802708332066,0.10060388630481984,0.05442084566942796,19782000.751669884
4,44.34614957160095,-12.135856927876064,436.84511291960837,94.88036292663435,0.0001952126953204179,0.17328403276402043,0.16757651634352655,0.0553206540929975,11269205.240838462
5,41.72962330045373,8.622702153417293,361.55498928864563,115.83597952086224,0.00046165933671346186,0.6023203948447378,0.07789031079951535,0.0568692554469602,14542173.765614398
6,39.82412444834133,3.7080042638096278,412.1876494736688,75.30339114839279,0.0006035303216802356,0.2730610845389686,0.05548694266083561,0.01954137473683549,7829281.940355523
7,62.82003821324027,38.50776009821211,465.291542525856,102.63035649647769,0.0005043927866917461,0.12915411330134918,0.15539630129688814,0.013618047608957656,5195655.730453307
8,67.98618291398752,-39.98281352877604,379.94635327848874,76.49055184488245,0.0001336335252786433,0.8252016283843087,0.06000275501792307,0.04955993491814698,14139570.368788382
9,42.65213366512781,13.211091823026951,380.71811289032695,93.59230928693046,0.0005820677228510532,0.07281806725248041,0.048433492945016435,0.010074283104922001,19001349.161288016
10,76.1778208429631,50.76132945128818,397.86091013300745,127.17247059246996,0.0007562238901212338,0.13984054769671445,0.07487687425275047,0.04610138143291908,5459602.695407425
11,47.33448535217674,21.66711833895923,480.3463864337639,95.29761842929261,0.0004232288760165164,0.30848606441311754,0.02428587806267861,0.03411543775152682,5047503.614492056
12,58.05036359900932,-22.995586242487942,388.9169318441435,85.35847963050341,0.0002500763844740335,0.7113055423625212,0.04332674371998352,0.015395665726120309,19883978.849508062
13,53.93867114445039,32.02632532650934,495.44267777979235,129.52208911020898,0.0006235114302222237,0.9808131108719986,0.0987486453510161,0.016908843186268906,19626937.79694857
14,43.8798750605864,17.084707733487758,402.6444809593098,71.8812255134487,0.0003762055408873419,0.9541244812397105,0.058526402076554594,0.026806880424795038,2597581.0730846347
15,50.144621985742404,25.448181327039364,371.7847031844984,119.73674979419492,0.0007478127064818676,0.569050272990296,0.04670590184696876,0.0597728882975091,9512131.878514862
16,47.36247774454437,-17.89907951719121,415.2799631515624,71.24765971991624,0.0004911955009752544,0.47798802585103783,0.12175892400025068,0.010872591733714486,12056393.627107935
17,58.14011076225201,37.25688025877772,497.4017615230938,107.14934493986709,4.855020967937387e-05,0.36017793500080153,0.01356459878010266,0.011523654181980172,2433482.0044327555
18,40.84524291478155,4.845972049436132,429.7192584719784,101.58973404146931,0.000898629593998106,0.9461499452162654,0.12657716363578028,0.0395625470384009,17663347.480701536
19,52.02839078840979,29.875157163774837,483.62443791688366,110.35436148445802,0.0009683952956259164,0.7785604723263639,0.05023953460341483,0.023811934087545818,9113177.355140306
20,44.108150476826495,17.41707432428069,475.27199261232767,105.05766572145833,0.00029192414864325086,0.04932208459476589,0.16232911634319847,0.02439869004166514,10904441.426974038
21,61.77407452066812,41.9198016701879,392.7122202693244,127.85979465986502,0.0003653291218259867,0.7527104305506505,0.1947963473567834,0.020068997558138676,4153476.647465704
22,51.4720019424914,-3.9750384852757104,350.5350573126391,106.61914326668496,3.206155692316037e-05,0.7381557750233183,0.019844085464862146,0.01432121459222846,16431363.966110548
23,42.09852863659366,7.3970870782639775,496.2126689522043,77.8633057420668,0.0007632037746591934,0.08485813287760524,0.029374313288867124,0.020822960166005648,11027045.103441115
24,43.31740582729597,-5.89209631668669,489.8078673227057,92.11570519084978,0.000551453333372635,0.7985434937692721,0.10648195590243636,0.028481006378418657,15407484.58548301
25,46.60652807614105,-16.498108127405043,432.506489820121,80.17568008866517,0.00024177919009109701,0.6560749225307472,0.18242064840049366,0.03169010793557434,9717055.576459909
26,45.38725056437188,18.860127021632255,435.10491126874757,109.1736310196579,0.0004073338646010005,0.15358581127463533,0.03103263470568797,0.04046952431610613,10594687.302656962
27,46.76887493233709,-21.056104344296088,399.493531851296,74.55404835872261,0.0006693087229104757,0.4222745754322423,0.15927144853033443,0.053434022860474543,12879380.911811478
28,43.99961846991933,10.209895236816573,490.81658955638557,78.8059330988775,0.0008511326597205347,0.1480004410204871,0.18673373535033946,0.042712261280468865,8201143.43542177
29,54.555049380092235,-22.9881755890854,472.10565948608985,90.7525268600893,0.00023502518746931344,0.6233880023135716,0.11867558251812539,0.04797863678841601,15769710.926707901
30,88.12815594771236,63.694400574420165,463.65848281647914,117.71006748228164,0.00012123522332125599,0.22460955637309937,0.17240018550709918,0.013104794295798954,1010510.36791615
31,40.52476910995496,6.086237073716106,485.2084532019023,106.21386902614636,0.0005254998987270493,0.9694535769646744,0.142142949763376,0.054046877237585264,8609351.930497177
32,49.96679915576818,25.940587743450127,419.79351512001574,124.0404447455251,0.0008111651399893502,0.8909270757215941,0.19383972724490947,0.05911417732220299,8484224.973207753
33,76.31913336096473,52.33997824143818,468.37480529820965,111.12822560438067,0.0005722976286842152,0.4532785671785092,0.1505487917146392,0.03072204778490533,1898542.9393182546
34,41.71279822507354,11.738278367772773,438.411005975369,80.77756033328934,0.0007168898742716536,0.8467693056521889,0.13418653086900667,0.04350159629906002,4278832.780755619
35,56.24811693054437,35.17807299798868,365.38892109899524,126.6370496141367,0.0009262658149442106,0.9244052841022812,0.11463835160533785,0.030040641649997032,13387012.192672264
36,55.14901634332152,-24.72917753950842,377.6251645305766,86.91795946266262,0.0003845299769243523,0.6609999230146482,0.12571406885431366,0.04494117303184669,18825186.63995243
37,54.2956270448241,25.722846103871042,417.4967585564302,77.042961898301,0.0007747455154168365,0.28438530311845117,0.1490612667069401,0.03687094953684525,3743459.0900745345
38,54.825237260795525,29.655498094229223,410.18151501807415,88.08550451374127,0.0007311334823446962,0.3546784119031787,0.08342736406465977,0.01728083402519703,4729349.736624935
39,71.25019092456574,47.41884078326687,385.9633806128643,121.94011819296412,0.0007034866192708241,0.03380484635538966,0.16957199041597826,0.018677194195462248,19153568.790995426
40,54.40920142763363,-14.597790931584042,408.4142933454537,97.06055581637216,9.08837289567824e-05,0.5803759628729102,0.16062502540540818,0.021105133364272256,18546856.554592688
41,43.75736207138325,7.349802767979288,466.3392498886053,123.08030130327995,0.0001584142106962539,0.6860112390179005,0.13536555243830978,0.05200445205873177,11667252.721826795
42,68.42915895095805,45.93432550041236,447.24828080676485,98.22771699108422,0.00022415101093619115,0.8362059179580572,0.010282319444610125,0.025538637440951077,1472620.999997383
43,42.0485557686739,15.442674062775328,447.0903179134866,104.07533554981131,0.00020265457319609663,0.39685900235656824,0.017355807644449564,0.036132129530250974,5800603.43798823
44,64.125462882897,42.624219160441264,352.66596592253563,125.89546975482816,0.0007936073645860562,0.4634938649432809,0.04565308192561986,0.022645333719809264,12983317.342208283
45,42.03949848855067,3.120362035824003,365.82006378819153,113.09418257276438,0.00041559515489588864,0.6358202083212235,0.16388347654372032,0.05663303618529884,15547167.970065666
46,39.676160168027465,-2.34423802857388,354.48499122950295,81.39594840223572,0.0008013223622268785,0.23644211381560554,0.14727902144274724,0.02584798683925755,17150440.970881302
47,46.76879325997954,-4.967215443324723,420.61978807033995,108.29265969982275,7.66221356541261e-05,0.01564449427957204,0.12994557425136719,0.034503929947853104,18027941.590283692
48,45.12162080592406,-8.52557102386023,459.99519548153415,104.73692465302547,0.00027627879088018645,0.5521923795116513,0.027737308822316842,0.055903740761450355,14833907.986389447
49,77.60801859160277,53.782099273846015,360.2640777936079,118.08680153914989,0.00036181067485762297,0.7176743975398516,0.09424121209502065,0.0469610134478371,1219375.6485989261
50,46.802056732222376,-16.816202928659578,450.6509382182653,85.4817730101748,0.000782353298417672,0.7918792547515228,0.11288665164619216,0.05055663574432008,16990847.332886063
51,45.51214113725339,20.023631535658907,457.81241879970713,113.74596097463008,0.0009062922972626496,0.9055871437743338,0.1420043998430997,0.03141078495937044,19350714.07017903
52,41.76860574023942,-9.303153110986798,423.69396511610495,82.0294164292857,0.0008620161136232212,0.9982517045050388,0.0895753513818846,0.043956917912517296,10427759.828820677
53,47.25113027699692,-8.51387532833479,383.760436900848,108.04763929434124,0.00010586631374910534,0.7561207150111061,0.10444952681533302,0.053070196365154025,11937038.85262947
54,59.980232560310824,31.511909647641378,413.9931231353839,86.51263443425862,0.0006657256486603141,0.08849597169005369,0.11098379619486458,0.05184456124957465,3697559.6476628166
55,43.105004380817846,-4.8200554111074885,461.5907965602852,97.83066163393144,2.194614227349795e-05,0.32298371959923877,0.09774673348830666,0.037295261714776484,8033089.276695448
56,39.1338843582911,0.9415587337913758,416.6574248238825,88.42513693907377,0.0005911695803200113,0.6966124940047042,0.061828438216850634,0.04100834583179862,8322346.308043018
57,59.174915894998016,38.70041434900749,393.6410482705237,115.64380205866192,0.00039610377780700714,0.8838315361519339,0.1034497596333719,0.023018585614785092,3193069.434979311
58,42.4377507177921,8.672299585004005,367.587117602451,116.80237639685357,9.529159153906172e-05,0.8681892427219042,0.09188139191096453,0.050164603468249455,7155177.86394332
59,67.35028721012844,-40.40848245598335,469.9714751075507,73.03120786809907,0.0001840313200839792,0.4080348839735417,0.1979042615960388,0.040907787802426064,16042368.711583834
60,65.77247127029976,44.25201227123786,425.74031689378796,114.95518468319588,4.388233566053883e-05,0.4945170307328044,0.17305107316337676,0.0384154849790843,1635909.0888557974
61,43.93810527443944,18.147411511195934,477.8350328359872,109.76246532109892,0.00044718974595998016,0.33956561229745297,0.07317927842039892,0.027474299903178553,13994877.19404221
62,51.99385000008624,-9.337171485514533,441.96608512218705,117.39972607066152,6.972363903023329e-06,0.18452990313858852,0.123468438315807,0.05831979818502389,14998143.729929753
63,49.83192295125324,-15.568627618618468,433.41314525533454,83.5048741204348,1.6268341616413923e-05,0.19403431157643747,0.06712360604413087,0.018203778648829494,9272164.976488583
64,48.873593140874355,26.235754276294973,356.56059224123146,120.44393008465555,0.0001704397943222113,0.45067159950027447,0.175249476585341,0.02206717445288107,6975828.603449503
65,45.50400632975384,20.462593148752955,363.36679046670514,99.0608513378219,0.000566176105462217,0.6987120617467155,0.1375057399708438,0.032402858400962735,5544342.827653059
66,40.11540865820034,1.829422971577192,454.883204337558,103.14905008656017,0.0002751158336874161,0.31542063568971523,0.1456598451008074,0.04330971975432217,11476332.774680266
67,39.985807158036764,1.382148651136424,428.30638354655565,94.29842472003132,0.00034254022716560806,0.5356486533726138,0.06367681272505268,0.02803684431996569,10052416.332383722
68,42.830426667465524,10.159505854368158,453.8353302465055,79.60464021689396,0.0006568508434887292,0.2165636497819713,0.07102158001809228,0.038071458079548,6676062.859601231
69,56.9093201928176,32.4061441774193,430.5314544082754,89.1868022197865,0.0001714956107007529,0.22770844640337018,0.19019462154352668,0.048376151279454584,1994365.3456391823
70,46.16508239492361,-19.717474003014402,485.93265591312047,73.94818308690216,0.0002159258845263841,0.5257120932734335,0.1530044638904718,0.057216363197749615,6934299.188259918
71,39.97047533284081,8.549468915620823,457.12468018473567,70.91492286385326,0.0003140293579213513,0.8535038987521126,0.1278340514675327,0.045639104249112245,2949087.015114599
72,39.83936602044237,5.291655624771202,401.32616937512535,91.4942898438281,0.0006943900883196824,0.3710538659602081,0.0842580586272605,0.028905698512979857,14752329.864689872
73,64.80729954457446,38.88967097505129,388.46384802611226,84.051938824679,0.0009406618967971335,0.5577178458096979,0.03728215412254736,0.046308261000830096,2184642.812452594
74,50.33135450363888,27.9378000657105,396.0931462395453,124.42626155907686,0.00045483717478684053,0.7644228497048686,0.0695189413855586,0.029915524076504597,10327302.085685741
75,43.94828755680791,17.39110521295687,391.0370795412432,89.52977753108975,0.000979339253115889,0.7354792197388915,0.03331971829609051,0.021536426559618065,7403017.684223206
76,46.675413367629815,21.738589797449542,481.59966018831324,128.81687379671305,0.0001291558917742123,0.9261826543953922,0.05435521601025585,0.047548657857294535,6095913.76731236
77,44.09610725441806,10.125676880895819,441.4094851121446,84.68053585034427,0.0008457734997484932,0.11197435061114563,0.016849366025377843,0.054874869900826656,9399737.1541536
78,50.96517624415392,28.28478664687678,498.8594676000682,122.15385327482822,0.00034447201502088896,0.20140828120684384,0.03590216796575718,0.023373399983330975,16909491.196286708
79,63.18261162506408,38.01442226164163,493.61798490364515,99.68013156652854,0.0006473325319697983,0.2813531122895148,0.18391702277535177,0.0418421900610426,3429745.5176077373
80,43.33434938936993,5.382723266620334,470.1829226270825,112.24727341905944,0.00015005371793325623,0.9357635553435424,0.10885237277036362,0.03666214530571461,9979917.508557815
81,50.43324183482039,-21.86598505571911,358.6205550301646,74.68341877852524,0.0004302224204454907,0.3490855597839844,0.08174755377950264,0.015109051032400466,16362275.997982994
82,43.36924905759568,15.220590369462839,445.3514926846649,99.93491579302902,0.0009555867518246633,0.9074733462267695,0.08712713514672012,0.016439396585419996,12601073.83013159
83,69.60304498009236,45.435641140182504,358.29771049730925,111.23578110819707,0.0007391066859835833,0.48296481031248206,0.07683685149610046,0.042156048147183954,2807150.9694800936
84,47.89850271995079,-13.315879383262347,449.46794011440585,96.44567651254054,0.0003327669394656603,0.6186935257832233,0.014400662414685753,0.04463129500399445,16652999.3156785
85,49.61475023949494,26.47792414032508,473.11001497753824,125.15686365118302,0.0003189770400123921,0.5103854929711965,0.08966492039284704,0.015939149964362832,17525928.09229886
86,74.56981820958164,45.48326978924806,491.7748710463073,78.06165224399618,0.0009920406346063354,0.019622653803360424,0.11735663108209796,0.024806511794203852,3001977.2252898524
87,58.75952491790427,36.069287141187154,487.25747677951665,128.8951407242096,0.00048246426640881254,0.6116635387769994,0.05313054737297101,0.05891946070247792,4056748.7711553294
88,49.060996387915935,24.907136956650792,425.6306640125379,101.01820272844195,0.0008928138164642368,0.43576069211661317,0.0655744195433908,0.017707890504231445,12536325.576380191
89,47.397439242097924,23.280849635264484,460.1845134502164,123.47819492458336,0.0005112672199086628,0.586491064430784,0.19939416639935503,0.039342008601579166,17382092.648215674
90,47.038410066652396,22.667902124395926,443.5608930061298,105.82912521797664,0.0006855832738882749,0.9865593179242678,0.040406644710579365,0.04876025846777203,4613941.51973046
91,60.39837837930614,37.84749919404907,374.1852823604894,126.15998805352017,0.0005610040768670218,0.25454631132237493,0.18791903861825535,0.03351172029267927,13303488.867869208
92,73.78911924162823,47.56744014062254,384.3439644879354,102.44366454899543,0.0009880106848397087,0.16907377127891282,0.04096104633962151,0.026366742238216875,4888567.64233594
93,63.01785878525047,39.544631139417426,370.03631303820583,119.19354430500404,0.0008361850247571301,0.4255968744526557,0.08022646304324685,0.03883310899158273,7617439.640301885
94,47.336241225547276,21.09450210802957,438.69158115159286,100.33968169186053,0.000637735338917162,0.09618585697833348,0.17851657388124914,0.019220776001132995,17894272.034586422
95,43.40130093406698,-3.350664606228376,382.8366435058723,90.24467665618133,0.0005365795447566618,0.6717737137916813,0.18119140205407439,0.013938737634178047,15214154.57082586
96,52.874402805966945,30.636680852995102,402.9959664196725,121.21043129801731,0.0006169255917979098,0.5088218774813,0.15798946735638875,0.033082605605133604,11812334.438660152
