iteration,rmse,bias,rho.max,rho.null,c.ov,k.exp
1,32.384170877118166,9.467245581990966,498.80128727073475,93.03255737133546,8.820332260650945e-05,0.18857814279477808
2,41.38197624472839,23.880260577274154,423.4808208367532,100.2986970999745,0.0005303007157984621,0.11203667473315733
3,35.85137637610044,17.355505128843518,407.17373707159925,103.25387320510957,0.00010332879304140953,0.1467188270251825
4,35.23279395447642,15.138227197048836,463.5748247868187,90.90269085926535,0.00044017360854421174,0.17858462211040654
5,33.72470667773624,13.105025935487726,492.7626881538339,95.99562897886683,0.00014942805112404202,0.12559181690689142
6,40.005824489671994,21.49039083428305,423.2324982359403,93.49839230337042,0.0006886799790698612,0.07851893199262486
7,39.029062337404895,22.264541391974056,490.5423328302654,109.49750589793962,0.000126793287405943,0.18368920746656492
8,49.91821107197649,32.60965794675165,497.62817314104393,104.40883192506598,0.000895203091819472,0.06930852269879648
9,42.64220624548839,24.07724287458164,461.75246458541665,92.26172532046434,0.0009182279945692221,0.09601053407630436
10,47.07161065111921,29.427609368210746,479.21608429726,99.60270679318813,0.0009108273041569053,0.19209168412816643
11,38.75814163417049,21.727678761779245,472.52015509716546,107.38693601713916,0.00016724064144544486,0.026993479170430032
12,40.33989757430658,23.331631767694088,406.38740440133404,105.03782450708019,0.00032264177283464234,0.07053358535516292
13,43.2619616810199,26.724316127653836,455.1997756122228,107.74142310315352,0.00040042425168874946,0.09472591193871967
14,38.066224175168955,20.48263084221762,432.9521172444766,103.54410194353119,0.00023408788739472076,0.055363546047417014
15,43.433034019781225,25.242638735906205,430.00920352853933,94.63160911680922,0.0008758123540105467,0.011895751866623963
16,43.87546950251771,26.626126673045345,418.7646333026667,101.75059409860846,0.0006318047996283461,0.05408593507757322
17,37.27314397766486,19.875450423979323,420.9111837989055,109.21037954199909,3.3677374561855026e-05,0.14976881632312897
18,40.14344059918793,23.171295608482367,459.93741215823684,105.55332801534473,0.000296204783284198,0.13580601843727091
19,43.13002130649554,25.16825909898393,482.8765927981171,96.35801488391137,0.0007848852612450522,0.05045458727397687
20,33.02871908701624,11.262693156260525,410.76011664036173,90.31690476880331,0.0002690161347341756,0.12792527932044545
21,32.254338981224954,8.509429982092927,425.6477954828158,93.887507428118,1.763570923474304e-05,0.19739418381812232
22,39.21449273283343,20.531462241173212,416.87006372474127,92.9829618457511,0.0006539609717725809,0.023588892277293813
23,44.02291098370333,26.373747952807832,413.44175265497546,98.74976407638296,0.0007489457508667791,0.17685766812602688
24,33.1274123803985,11.570722611959537,400.6242335314123,96.87443270894252,5.303136308970212e-05,0.14305252812493824
25,39.27100178773718,22.269785677003703,412.65402428143676,106.63237008665087,0.00021616052763633216,0.1035412504327329
26,46.77405296027447,30.22569507272843,427.13489084947895,108.52276953444516,0.0005657155960167137,0.06446259965819157
27,38.27987538957035,20.155866948906045,441.71904864281123,98.54547013708793,0.0003961833901497896,0.14042397528293288
28,37.1164908465326,19.664555263822844,486.0107150994327,109.67477198881048,1.2200886830290977e-05,0.05862971886786304
29,45.031979622932134,27.84504644686973,415.50768961528894,102.42621548807887,0.0006772258179538529,0.1959544316983281
30,36.62904898386213,17.9770983140158,444.84594412321013,97.8537590658565,0.0003117816439498378,0.17360108893550885
31,41.513923921439165,23.382370804533394,401.92669773407073,95.51423202771942,0.0007112930280712986,0.01940471453184632
32,39.819273166328976,21.659318740479744,468.483816283424,96.27182047615162,0.0005727275873124947,0.11089231351364509
33,43.47270280701304,26.59545027588105,435.5183038695261,104.79557844876685,0.0005053005526161398,0.08439701938848725
34,44.35400682351307,26.08480538243267,470.06795856925794,94.06161815184184,0.0009632468918121724,0.03789325826903546
35,33.54059771441952,12.685172928870623,484.4033860769238,95.09044967725796,0.00016140472237131877,0.15742480257006497
36,39.36127163027507,21.80988959860475,466.12022591234313,101.56767298629839,0.00036866053543906747,0.13109984169311975
37,47.75253313731775,30.07874879433,477.09656937952525,99.72885668629534,0.0009495502263623648,0.07353460144257241
38,51.59832939831886,34.59191076054103,440.8712213823033,108.74799654779304,0.0008314516089529783,0.0863416561854788
39,44.629162555816485,27.860896580417826,428.4575844061329,105.74728409696682,0.0005402906430956296,0.12178611464775313
40,37.36613524205915,18.01326456008146,404.33519168623866,91.07077970355942,0.0005916212168107313,0.16310583031960676
41,44.811023593098845,27.681492856544146,474.48489623017076,102.82981758675919,0.0006497611911410023,0.044546181273249476
42,34.22116562283052,13.643430103686825,438.14535457096054,91.50825214387741,0.00033884896156591033,0.02008078094786922
43,39.92719619226151,21.233840114647894,452.04655860423657,92.34881680424,0.0007274198190872776,0.03062840905497645
44,49.16728981295761,31.508706176432078,434.77183904312596,100.83691576752585,0.000994091210840581,0.13836328649957008
45,49.55646912609096,32.00135854964919,453.344920217552,102.01229564911817,0.0009699207465425844,0.11552347595139908
46,37.60366825917427,19.95844245221902,489.4199354325043,104.19696431439608,0.0001885293294063055,0.1616745165668522
47,43.14186581015119,24.96027485133939,451.3457335919401,94.73199428747304,0.000851691340689908,0.03989381623017542
48,40.1202979421336,21.348022481594523,493.77533727946957,91.71316462021734,0.0007654117948930825,0.18533110004302156
49,42.87644754290755,25.88323106787519,481.5006967619389,103.94510083186307,0.0004982098184321829,0.10142629186892778
50,49.57431742451135,32.51616690334844,496.4867442586285,106.21103381909109,0.0008056506908669819,0.03270665972500976
51,49.642025826678726,32.66968458537244,439.6013084143615,107.00306568387221,0.0007802872563829836,0.09077714052202157
52,37.52806127959811,20.180845239997545,460.47473415729576,108.24883046837267,7.38666764449515e-05,0.06320695710572113
53,38.99572072354593,20.957262695486154,467.2796385545321,98.14251367278618,0.00045482973605270524,0.08192527515953948
54,39.49102672334118,22.536341000480746,457.5313177029056,106.69471332166502,0.00022663243968185169,0.12074397659528305
55,38.96500700537375,20.84889790153587,409.3530881578706,97.10839444067558,0.0004772239187184444,0.16763627256188246
56,37.22791759050024,18.717514187424587,486.6751026397437,97.49073830838732,0.00036216074081219803,0.17117875493033574
57,42.80167973543755,25.37267223740575,475.5684439184171,100.47570259620875,0.0006101597954069261,0.01590955779495397
58,40.3801381935218,21.414163231887045,448.2161627539043,90.38533150677873,0.0008360273092077651,0.15527824128570644
59,37.397784525337315,19.375124014879404,449.67278679483184,101.11253839046788,0.0002638130280069069,0.10534849776100433
60,38.927332157757746,20.99050952559865,445.3813302758194,99.02565996994294,0.0004219065111120057,0.04648021540039641
61,32.342314386485455,9.397097236341018,425.6477954828158,92.27447020848409,0.00011119837110866893,0.19739418381812232
62,38.77831726434396,20.820491476247895,423.3352576177121,99.06897186779518,0.00041120730966546533,0.12452855758442673
63,32.99854664211516,11.341390418835447,407.17373707159925,95.0340957913164,0.00010332879304140953,0.07301906489234414
64,36.688939672712486,18.747935576822655,416.4690766924498,104.81076812216448,0.000115794718688265,0.17107166401016394
65,43.11403219585678,25.504297883750333,459.3592453554049,99.08180389352783,0.0006791026400421704,0.12559181690689142
66,39.84057360388868,21.308788188875685,475.95942109169727,93.49839230337042,0.000677457673042303,0.08739837596529065
67,35.08174341972946,15.892475241779001,404.4118898923464,100.43916964141059,0.000126793287405943,0.08483553204508323
68,33.565163244446445,12.726912954663055,490.00143067092756,94.72202695972126,0.00017602069261662528,0.06930852269879648
69,35.6178348849453,17.021371321796387,439.7655675462692,104.3366425587271,5.6951344447273456e-05,0.09601053407630436
70,36.18906076005537,17.402020262999148,479.21608429726,98.17468342196193,0.00027212866379417485,0.014823407575465533
71,38.75814163417049,21.727678761779245,454.0935490073434,107.38693601713916,0.00016724064144544486,0.19637455548637361
72,41.25307658878266,24.526155830312174,479.50701521240893,106.74157981406059,0.00032264177283464234,0.13637091736914986
73,47.295109232481984,30.617700998462386,455.1997756122228,107.74142310315352,0.0006203144767501263,0.09472591193871967
74,41.13829185862578,24.142148000623337,432.9521172444766,105.07423412852981,0.00037258829952412217,0.12514973673231758
75,44.06602747629946,27.76016027419831,435.4819859883172,109.71448447142336,0.000384091227400638,0.16924691698204938
76,36.79651973730673,18.767209879970085,429.3653583183545,103.13710724907153,0.00016880668498049043,0.13862562400010958
77,32.093425666842364,7.936691810614153,414.74477098136254,92.65885016772701,3.3677374561855026e-05,0.14976881632312897
78,36.012240536569756,17.74249557084716,422.99546058910863,105.55332801534473,5.110522081551303e-05,0.050489893764765835
79,40.423563624106684,22.81246155875332,410.8823076027158,100.00277753966316,0.00048235689919520996,0.049966420184585046
80,31.801661525908838,6.500571143504203,435.00662875870654,90.31690476880331,5.022734287448723e-05,0.11767378209745344
81,38.932688541713226,20.215813319521537,459.49615486899995,93.03255737133546,0.0006325409006857728,0.09372233740041826
82,32.107950263283506,8.167525072822647,494.1526295889379,92.45941617059253,5.045418999563724e-05,0.023588892277293813
83,32.44025944635133,9.336763584482108,415.9287445242805,94.6644669195838,2.8081480035385036e-05,0.07779781495142732
84,42.98133200836702,25.430012800780737,453.0029511334031,99.53390950082319,0.0006544908349070765,0.10253819159793069
85,46.605949263000355,29.75607220932225,459.3538569123147,105.87487700761032,0.0006466062668169467,0.08604265067093814
86,36.87382193823758,19.24548509909801,427.13489084947895,108.52276953444516,2.745608043839057e-05,0.17027090923918559
87,39.085724757303566,21.312147440328037,460.84864126597915,100.13676863640966,0.0003961833901497896,0.17461243897154544
88,40.182121090378985,23.646273965464843,481.6874512665722,109.67477198881048,0.00018309275544132797,0.0857459752767395
89,39.55338442725621,22.13728429662329,464.81411740880543,102.42621548807887,0.00035423688620853403,0.16787668801183875
90,37.355289130928305,18.92886197802503,438.63489098483154,97.8537590658565,0.000359224984350478,0.12766468885666882
91,45.52922191170295,28.30589901105085,401.92669773407073,102.3012259205671,0.0007112930280712986,0.15131876084312335
92,38.984169055053165,20.81156698022272,416.68228362871804,97.11783297841927,0.0004883946416708094,0.11279789103360502
93,33.93680910178397,13.300715856382526,426.2444560998006,92.7564579831847,0.00027421855268556464,0.08777219576132676
94,45.56620628395707,27.536851780993107,462.0086239415534,95.99438640164136,0.0009632468918121724,0.03789325826903546
95,43.05862908308455,25.994265883265495,484.4033860769238,103.31776062868963,0.0005294835453711216,0.07572488502532192
96,36.073337654216516,16.855187340671243,427.8576360682434,94.85512423923386,0.00036866053543906747,0.0355955721875965
97,38.810636961752905,20.117287732057882,477.09656937952525,93.32068626832391,0.0006134735251660376,0.17449694434412233
98,49.64101330263515,32.79373838291814,442.0118727847725,108.1071974855574,0.000739671561055463,0.0863416561854788
99,44.557818649248816,26.83813084052213,444.1853475490725,98.25522258532052,0.0008023545268049351,0.1439963019054118
100,32.82929908229014,10.926922176929898,425.4679645918953,92.89110911612345,0.00015878139285347976,0.10279117950675837
101,37.12174480631142,19.534061476559778,492.7672030641623,107.08271995301008,8.080429213645996e-05,0.019404402163796672
102,31.927501165059926,7.087859117588498,488.01052257576134,91.50825214387741,3.567318476943571e-05,0.1524716452429286
103,33.36088543609118,12.097126104508982,416.6860201698753,98.61058676924415,2.1121948585859686e-05,0.0600622990582579
104,39.34665128232698,21.70277276563309,412.41116421828093,100.83691576752585,0.0003902457519481621,0.17840410213596888
105,49.55646912609096,32.00135854964919,457.48826904031677,102.01229564911817,0.0009699207465425844,0.1842950628427017
106,38.11598449466427,20.131359885774845,489.4199354325043,99.9560813713169,0.0003417830629543569,0.06126445120924486
107,36.99868975184155,18.94492066414855,462.48256485629906,102.06986192086757,0.00021119312418365146,0.03989381623017542
108,36.635691495035125,18.512768655213875,429.4872072632472,102.86019654924795,0.00016624542366985715,0.18533110004302156
109,35.978138901081856,16.928147613385104,481.5006967619389,96.67461309178387,0.0003032688170859112,0.06610728073864824
110,33.263221924667974,11.943680538381727,469.47221524290694,92.4007671068133,0.00022326416224181073,0.12745144715780735
111,36.50750805907707,18.607746058311772,464.6617867616033,107.00306568387221,4.451747706959899e-05,0.07956532660640867
