iteration,rmse,bias,rho.max,rho.null,c.ov,k.ov,k.exp,tau,eta.null
1,36.29823921849997,10.80148427164096,376.8828782370321,87.53822582725297,0.0009486726231602057,0.38802897257564256,0.1910670594703793,0.034794933952797695,8839392.123675084
2,33.53265685870068,-12.12542351064141,479.5904994084065,72.31225737869714,0.00026568850343559587,0.6421212220269626,0.1328506399200251,0.04917059256585665,6487453.278714536
3,42.4500013559563,17.615477348463532,353.11689281029584,112.37166679491631,0.0007104205821068706,0.042585802708332066,0.10060388630481984,0.05442084566942796,19782000.751669884
4,33.62529466542313,-7.503710904505967,436.84511291960837,94.88036292663435,0.0001952126953204179,0.17328403276402043,0.16757651634352655,0.0553206540929975,11269205.240838462
5,34.92771964595615,8.302630923283091,361.55498928864563,115.83597952086224,0.00046165933671346186,0.6023203948447378,0.07789031079951535,0.0568692554469602,14542173.765614398
6,32.25344619686397,3.4359755410388413,412.1876494736688,75.30339114839279,0.0006035303216802356,0.2730610845389686,0.05548694266083561,0.01954137473683549,7829281.940355523
7,50.09954585838414,31.148583635412137,465.291542525856,102.63035649647769,0.0005043927866917461,0.12915411330134918,0.15539630129688814,0.013618047608957656,5195655.730453307
8,45.293418698940066,-26.145827813414513,379.94635327848874,76.49055184488245,0.0001336335252786433,0.8252016283843087,0.06000275501792307,0.04955993491814698,14139570.368788382
9,36.11384852782105,13.123830697090845,380.71811289032695,93.59230928693046,0.0005820677228510532,0.07281806725248041,0.048433492945016435,0.010074283104922001,19001349.161288016
10,60.89296487807206,39.333818835035885,397.86091013300745,127.17247059246996,0.0007562238901212338,0.13984054769671445,0.07487687425275047,0.04610138143291908,5459602.695407425
11,38.45794106254835,16.7099991832292,480.3463864337639,95.29761842929261,0.0004232288760165164,0.30848606441311754,0.02428587806267861,0.03411543775152682,5047503.614492056
12,34.923322412635414,-9.806168155056353,388.9169318441435,85.35847963050341,0.0002500763844740335,0.7113055423625212,0.04332674371998352,0.015395665726120309,19883978.849508062
13,47.72942939596357,31.426241641354913,495.44267777979235,129.52208911020898,0.0006235114302222237,0.9808131108719986,0.0987486453510161,0.016908843186268906,19626937.79694857
14,36.67914252265222,14.953654031536754,402.6444809593098,71.8812255134487,0.0003762055408873419,0.9541244812397105,0.058526402076554594,0.026806880424795038,2597581.0730846347
15,41.77097304055909,19.013336836815817,371.7847031844984,119.73674979419492,0.0007478127064818676,0.569050272990296,0.04670590184696876,0.0597728882975091,9512131.878514862
16,33.42653947339616,-9.805998833410845,415.2799631515624,71.24765971991624,0.0004911955009752544,0.47798802585103783,0.12175892400025068,0.010872591733714486,12056393.627107935
17,50.06575422115098,33.92126122558687,497.4017615230938,107.14934493986709,4.855020967937387e-05,0.36017793500080153,0.01356459878010266,0.011523654181980172,2433482.0044327555
