iteration,rmse,bias,rho.null,c.ov,k.exp,tau,eta.null
1,42.08969673408437,22.147496096921298,100.0,0.0005000005,0.10499999999999998,0.03,5000000.0
2,42.090032287350276,22.147692660351662,100.00001,0.0005000005,0.10499999999999998,0.03,5000000.0
3,42.07959866048405,22.141484128587944,100.0,0.00050000051,0.10499999999999998,0.03,5000000.0
4,42.08969673408437,22.147496096921298,100.0,0.0005000005,0.10500000099999998,0.03,5000000.0
5,42.08333238383785,22.14693716403759,100.0,0.0005000005,0.10499999999999998,0.030000001,5000000.0
6,42.08953329628206,22.1452921401361,100.0,0.0005000005,0.10499999999999998,0.03,5000000.100000001
7,42.166419533076585,-24.435070267985175,70.0,0.001,0.10499999999999998,0.06,20000000.0
8,42.16642053643811,-24.435076897283565,70.00001,0.001,0.10499999999999998,0.06,20000000.0
9,42.167441190249505,-24.41510896115214,70.0,0.00099999999,0.10499999999999998,0.06,20000000.0
10,42.166419533076585,-24.435070267985175,70.0,0.001,0.10500000099999998,0.06,20000000.0
11,42.16615129926694,-24.417625171632526,70.0,0.001,0.10499999999999998,0.059999999,20000000.0
12,42.16160016802436,-24.4332611972186,70.0,0.001,0.10499999999999998,0.06,19999999.900000002
13,32.72969368239779,-2.2951315846681237,85.22193092088973,0.0007463014050173533,0.10499999999999998,0.04477806907911028,12389034.53955514
14,32.729693664269305,-2.2951214535013253,85.22194092088972,0.0007463014050173533,0.10499999999999998,0.04477806907911028,12389034.53955514
15,32.729693703552826,-2.295131394347242,85.22193092088973,0.0007463014150173534,0.10499999999999998,0.04477806907911028,12389034.53955514
16,32.72969368239779,-2.2951315846681237,85.22193092088973,0.0007463014050173533,0.10500000099999998,0.04477806907911028,12389034.53955514
17,32.72969368239779,-2.2951315846681237,85.22193092088973,0.0007463014050173533,0.10499999999999998,0.04477807007911028,12389034.53955514
18,32.72969367543393,-2.2951316695197455,85.22193092088973,0.0007463014050173533,0.10499999999999998,0.04477806907911028,12389034.63955514
19,36.31015746266141,12.78084649742709,95.08110130226875,0.0005819820629805425,0.10499999999999998,0.03491889869773126,7459449.348865627
20,36.310161811007006,12.780854555940493,95.08111130226875,0.0005819820629805425,0.10499999999999998,0.03491889869773126,7459449.348865627
21,36.310157607630074,12.780846689055458,95.08110130226875,0.0005819820729805426,0.10499999999999998,0.03491889869773126,7459449.348865627
22,36.31015746266141,12.78084649742709,95.08110130226875,0.0005819820629805425,0.10500000099999998,0.03491889869773126,7459449.348865627
23,36.31015746266141,12.78084649742709,95.08110130226875,0.0005819820629805425,0.10499999999999998,0.03491889969773126,7459449.348865627
24,36.31015735819341,12.780846342212708,95.08110130226875,0.0005819820629805425,0.10499999999999998,0.03491889869773126,7459449.448865628
25,39.66272653682451,18.383266263103707,98.3626891753288,0.0005272889864560063,0.10499999999999998,0.03163731082467121,5818655.412335603
26,39.66273155780569,18.383273729214313,98.36269917532879,0.0005272889864560063,0.10499999999999998,0.03163731082467121,5818655.412335603
27,39.662726716537605,18.383266455685987,98.3626891753288,0.0005272889964560064,0.10499999999999998,0.03163731082467121,5818655.412335603
28,39.66272653682451,18.383266263103707,98.3626891753288,0.0005272889864560063,0.10500000099999998,0.03163731082467121,5818655.412335603
29,39.66272653682451,18.383266263103707,98.3626891753288,0.0005272889864560063,0.10499999999999998,0.03163731182467121,5818655.412335603
