iteration,rmse,bias,rho.max,rho.null,c.ov,k.ov,k.exp,tau,eta.null
1,39.74629574060927,20.19919264382596,376.8828782370321,87.53822582725297,0.0009486726231602057,0.38802897257564256,0.1910670594703793,0.00014958986790559542,8839392.123675084
2,31.240239646758983,0.051408496616600456,479.5904994084065,72.31225737869714,0.00026568850343559587,0.6421212220269626,0.1328506399200251,0.00017834118513171334,6487453.278714536
3,54.29319223830042,35.60335973215344,353.11689281029584,112.37166679491631,0.0007104205821068706,0.042585802708332066,0.10060388630481984,0.00018884169133885596,19782000.751669884
4,33.168037133585436,10.98774166973789,436.84511291960837,94.88036292663435,0.0001952126953204179,0.17328403276402043,0.16757651634352655,0.00019064130818599503,11269205.240838462
5,43.749698429671035,27.56443332271654,361.55498928864563,115.83597952086224,0.00046165933671346186,0.6023203948447378,0.07789031079951535,0.00019373851089392042,14542173.765614398
6,32.96268081950444,7.774538477503019,412.1876494736688,75.30339114839279,0.0006035303216802356,0.2730610845389686,0.05548694266083561,0.000119082749473671,7829281.940355523
7,52.575238077374266,34.60088643988455,465.291542525856,102.63035649647769,0.0005043927866917461,0.12915411330134918,0.15539630129688814,0.00010723609521791533,5195655.730453307
8,36.49939617222695,-11.464471957507525,379.94635327848874,76.49055184488245,0.0001336335252786433,0.8252016283843087,0.06000275501792307,0.000179119869836294,14139570.368788382
9,37.39052862118948,16.04917946014166,380.71811289032695,93.59230928693046,0.0005820677228510532,0.07281806725248041,0.048433492945016435,0.00010014856620984402,19001349.161288016
10,70.13628130872222,51.27671578270168,397.86091013300745,127.17247059246996,0.0007562238901212338,0.13984054769671445,0.07487687425275047,0.00017220276286583817,5459602.695407425
11,43.53362323373054,26.025383923851397,480.3463864337639,95.29761842929261,0.0004232288760165164,0.30848606441311754,0.02428587806267861,0.00014823087550305366,5047503.614492056
12,33.615792948776416,-5.07219283714497,388.9169318441435,85.35847963050341,0.0002500763844740335,0.7113055423625212,0.04332674371998352,0.00011079133145224063,19883978.849508062
13,50.71106607587409,35.339934515659436,495.44267777979235,129.52208911020898,0.0006235114302222237,0.9808131108719986,0.0987486453510161,0.00011381768637253782,19626937.79694857
14,37.924573792626234,18.64238026296976,402.6444809593098,71.8812255134487,0.0003762055408873419,0.9541244812397105,0.058526402076554594,0.0001336137608495901,2597581.0730846347
15,53.40275514922202,37.339516224406026,371.7847031844984,119.73674979419492,0.0007478127064818676,0.569050272990296,0.04670590184696876,0.00019954577659501822,9512131.878514862
16,32.92463795815566,-7.365111942285441,415.2799631515624,71.24765971991624,0.0004911955009752544,0.47798802585103783,0.12175892400025068,0.00010174518346742898,12056393.627107935
17,51.74874640535911,36.28401900746835,497.4017615230938,107.14934493986709,4.855020967937387e-05,0.36017793500080153,0.01356459878010266,0.00010304730836396036,2433482.0044327555
18,36.91772101501394,18.367666301598632,429.7192584719784,101.58973404146931,0.000898629593998106,0.9461499452162654,0.12657716363578028,0.00015912509407680183,17663347.480701536
19,47.96502812058681,31.90373297452944,483.62443791688366,110.35436148445802,0.0009683952956259164,0.7785604723263639,0.05023953460341483,0.00012762386817509165,9113177.355140306
20,41.534199675480785,23.711432025435574,475.27199261232767,105.05766572145833,0.00029192414864325086,0.04932208459476589,0.16232911634319847,0.0001287973800833303,10904441.426974038
21,57.28270218264022,42.161723770095264,392.7122202693244,127.85979465986502,0.0003653291218259867,0.7527104305506505,0.1947963473567834,0.00012013799511627736,4153476.647465704
22,33.56220339743443,11.483517372604506,350.5350573126391,106.61914326668496,3.206155692316037e-05,0.7381557750233183,0.019844085464862146,0.00010864242918445693,16431363.966110548
23,35.79748040118288,11.15068268904297,496.2126689522043,77.8633057420668,0.0007632037746591934,0.08485813287760524,0.029374313288867124,0.00012164592033201132,11027045.103441115
24,32.075740986675385,7.99534445991108,489.8078673227057,92.11570519084978,0.000551453333372635,0.7985434937692721,0.10648195590243636,0.00013696201275683733,15407484.58548301
25,31.550494484925437,-0.8028256568056517,432.506489820121,80.17568008866517,0.00024177919009109701,0.6560749225307472,0.18242064840049366,0.0001433802158711487,9717055.576459909
26,45.58375562371742,28.500073173386394,435.10491126874757,109.1736310196579,0.0004073338646010005,0.15358581127463533,0.03103263470568797,0.00016093904863221227,10594687.302656962
27,31.401826343299682,-1.620629036114114,399.493531851296,74.55404835872261,0.0006693087229104757,0.4222745754322423,0.15927144853033443,0.0001868680457209491,12879380.911811478
28,39.24994920235832,16.915730669211143,490.81658955638557,78.8059330988775,0.0008511326597205347,0.1480004410204871,0.18673373535033946,0.00016542452256093775,8201143.43542177
29,31.813771710732492,2.4009340064383653,472.10565948608985,90.7525268600893,0.00023502518746931344,0.6233880023135716,0.11867558251812539,0.00017595727357683206,15769710.926707901
30,74.70579656439014,55.85460102443203,463.65848281647914,117.71006748228164,0.00012123522332125599,0.22460955637309937,0.17240018550709918,0.00010620958859159792,1010510.36791615
